movie_url,actor_profile_url,name,role
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/jeff_rowe_2,Jeff Rowe,Director
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/kyler_spears,Kyler Spears,Co-Director
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/sethrogen,Seth Rogen,Screenwriter
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/evan_goldberg,Evan Goldberg,Screenwriter
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/jeff_rowe_2,Jeff Rowe,Screenwriter
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/dan_hernandez,Dan Hernandez,Screenwriter
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/benji_samit,Benji Samit,Screenwriter
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/sethrogen,Seth Rogen,Producer
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/evan_goldberg,Evan Goldberg,Producer
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/james_weaver_2,James Weaver,Producer
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/ramsay_mcbean,Ramsay McBean,Executive Producer
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/josh_fagen_2,Josh Fagen,Executive Producer
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/trent_reznor,Trent Reznor,Original Music
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/atticus_ross,Atticus Ross,Original Music
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/yashar_kassai,Yashar Kassai,Production Design
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/rich_delia,Rich Delia,Casting
