movie_url,actor_profile_url,name,role
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/halle_bailey,Halle Bailey,Ariel
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/jonah_hauer_king,Jonah Hauer-King,Prince Eric
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/javier_bardem,Javier Bardem,King Triton
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/melissa_mccarthy,Melissa McCarthy,Ursula
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/daveed_diggs,Daveed Diggs,Sebastian                                                                                                    Voice
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/jacob_tremblay,Jacob Tremblay,Flounder                                                                                                    Voice
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/nora_lum,Awkwafina,Scuttle                                                                                                    Voice
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/noma_dumezweni,Noma Dumezweni,Queen Selina
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/jessica_alexander,Jessica Alexander,Vanessa
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/simone_ashley,Simone Ashley,
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/art_malik,Art Malik,Sir Grimsby
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/rob_marshall,Rob Marshall,Director
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/david_magee,David Magee,Screenwriter
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/marc_e_platt,Marc Platt,Producer
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/linmanuel_miranda,Lin-Manuel Miranda,Producer
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/john-deluca,John DeLuca,Producer
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/rob_marshall,Rob Marshall,Producer
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/jeffery_silver,Jeffrey Silver,Executive Producer
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/dion_beebe,Dion Beebe,Cinematographer
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/wyatt_smith_2,Wyatt Smith,Film Editing
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/alan_menken,Alan Menken,Original Music
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/john_myhre,John Myhre,Production Design
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/elaine_kusmishko,Elaine Kusmishko,Art Director
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/lauren_briggs_miller,Lauren Briggs-Miller,Art Director
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/simon_elsley,Simon Elsley,Art Director
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/diana_samuila,Diana Samuila,Set Decoration
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/gordon_sim,Gordon Sim,Set Decoration
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/colleen_atwood,Colleen Atwood,Costume Design
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/tiffany_little_canfield,Tiffany Little Canfield,Casting
https://www.rottentomatoes.com/m/the_little_mermaid_2023,www.rottentomatoes.com/celebrity/bernie_telsey,Bernard Telsey,Casting
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/micah_abbey,Micah Abbey,Donatello                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/shamon_brown_jr,Shamon Brown Jr.,Michelangelo                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/nicolas_cantu,Nicolas Cantu,Leonardo                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/brady_noon,Brady Noon,Raphael                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/ice_cube,Ice Cube,Superfly                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/jackie_chan,Jackie Chan,Splinter                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/ayo_edebiri,Ayo Edebiri,April O'Neil                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/hannibal_buress,Hannibal Buress,Genghis Frog                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/rose_byrne,Rose Byrne,Leatherhead                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/john_cena,John Cena,Rocksteady                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/natasia_demetriou,Natasia Demetriou,Wingnut                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/giancarlo_esposito,Giancarlo Esposito,Baxter Stockman                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/austin_post,Post Malone,Ray Fillet                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/sethrogen,Seth Rogen,Bebop                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/paul_stephen_rudd,Paul Rudd,Mondo Gecko                                                                                                    Voice
https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,www.rottentomatoes.com/celebrity/maya_rudolph,Maya Rudolph,Cynthia Utrom                                                                                                    Voice
